"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"shs","=~","shs_gh_a",1,1,1,0,Inf,0,1,1,1.16528630500861,0.896789199795308
"shs","=~","shs_rh_a",1,1,1.17427490774962,0.0502641740755625,23.362065115888,0,1.08562344526318,1.28149146327132,1.37918329264848,0.894155232737021
"shs","=~","shs_ch_a",1,1,1.13137268486411,0.0581680993738055,19.4500541885264,0,1.0383227330171,1.2650235946909,1.342028965685,0.816420170913143
"shs","=~","shs_ch_b_r",1,1,0.994983409127788,0.0804714536443063,12.3644269373552,0,0.841189970239541,1.1538489750475,1.16239578045091,0.647440572159462
"bpurp","=~","bpurp_1",1,1,1,0,Inf,0,1,1,0.937162293793725,0.867577284909213
"bpurp","=~","bpurp_2",1,1,0.728642049402874,0.065593216417746,11.1084970244841,0,0.639611345036395,0.874634227621961,0.709546927119749,0.708627809372314
"bpurp","=~","bpurp_3",1,1,1.09776153404823,0.0680529197445114,16.130998319683,0,0.929039316595187,1.16722883130757,0.982271732947634,0.839644996441849
"bpurp","=~","bpurp_4",1,1,0.84400638540389,0.0745753968642866,11.3174910344738,0,0.661260340554021,0.922668680631124,0.74219927735016,0.665022722931099
"shs","~~","bpurp",1,1,0.450003811228069,0.0738923051986479,6.08999556879846,1.1291381163403e-09,0.342205439106559,0.632699398079493,0.446359497961156,0.446359497961156
"shs_gh_a","~~","shs_gh_a",1,1,0.34142349864939,0.0434755622831232,7.85322789906565,3.99680288865056e-15,0.248859894418206,0.412227315975554,0.33054360519688,0.19576913113049
"shs_rh_a","~~","shs_rh_a",1,1,0.464163700691547,0.0693762762003577,6.69052486113622,2.22371010494271e-11,0.342852617970187,0.611113798764636,0.476983208367411,0.200486419769003
"shs_ch_a","~~","shs_ch_a",1,1,0.926382379525626,0.124952655337019,7.41386709251606,1.22568621918617e-13,0.665020476336363,1.13703268926612,0.901026582801242,0.333458104526155
"shs_ch_b_r","~~","shs_ch_b_r",1,1,1.87646018098437,0.184261096593338,10.1837024509069,0,1.51996543374063,2.22441798066345,1.87219170720204,0.580820705521828
"bpurp_1","~~","bpurp_1",1,1,0.316313508995842,0.0491835871597781,6.43128180074105,1.26532340161134e-10,0.196812962381251,0.380331236460391,0.288572099420821,0.247309654709558
"bpurp_2","~~","bpurp_2",1,1,0.518398329159938,0.0709432167052609,7.30722898164688,2.72670774847938e-13,0.367460492724405,0.630817343433849,0.499138918079127,0.497846627784195
"bpurp_3","~~","bpurp_3",1,1,0.365583143950999,0.0601688146468418,6.07595722296963,1.23250254446816e-09,0.285862803226266,0.521592366169401,0.403727584697833,0.294996279950168
"bpurp_4","~~","bpurp_4",1,1,0.656938491097805,0.0773682781621955,8.49105740366348,0,0.547975427724574,0.841444722991325,0.694710075357949,0.557744777985307
"shs","~~","shs",1,1,1.39442123686244,0.140580281532439,9.91903858537,0,1.09851047322457,1.61727387205666,1,1
"bpurp","~~","bpurp",1,1,0.811056133267924,0.10226708498906,7.93076416869306,2.22044604925031e-15,0.677806373531607,1.07873995628583,1,1
"shs_gh_a","~1","",1,1,5.01289855072464,0.0737279765521088,67.9918096922362,0,4.90056749345876,5.17479482538182,5.03768115942029,3.87693396580942
"shs_rh_a","~1","",1,1,4.5863768115942,0.0858304597027941,53.4353052223592,0,4.43724000427652,4.76275999572348,4.6,2.98228240764996
"shs_ch_a","~1","",1,1,4.47753623188406,0.0921270814765615,48.6017375143183,0,4.31640003339804,4.66331011152949,4.48985507246377,2.73139279357142
"shs_ch_b_r","~1","",1,1,4.70840579710145,0.100065736732418,47.0531267829671,0,4.56417401724498,4.94307235956661,4.7536231884058,2.647711363627
"bpurp_1","~1","",1,1,3.9063768115942,0.058099453654178,67.2360334891598,0,3.80195759253371,4.02992646543731,3.91594202898551,3.62518037256512
"bpurp_2","~1","",1,1,3.97739130434783,0.0546150674897157,72.8258974521416,0,3.87695089959431,4.08826649171004,3.98260869565217,3.97744978904099
